id,type,from_id,to_id
0,DEFINES,0,1
65786,CALLS,1,512
65787,CALLS,1,1188
65785,CALLS,1,2937
1,DEFINES,2,3
2,DEFINES,2,4
3,DEFINES,2,5
4,DEFINES,2,6
5,DEFINES,2,7
6,DEFINES,2,8
7,DEFINES,2,9
8,DEFINES,2,10
65788,CALLS,3,2939
65790,CALLS,4,8
65789,CALLS,4,2350
65792,CALLS,5,8
65791,CALLS,5,2350
65794,CALLS,6,8
65793,CALLS,6,2350
65796,CALLS,7,8
65795,CALLS,7,2350
65797,CALLS,8,8081
65799,CALLS,9,3
65798,CALLS,9,9
65801,CALLS,10,271
65800,CALLS,10,2384
9,DEFINES,12,13
10,DEFINES,12,14
65802,CALLS,13,12195
65803,CALLS,14,1580
11,DEFINES,15,16
12,DEFINES,15,17
13,DEFINES,15,18
14,DEFINES,15,19
15,DEFINES,15,20
16,DEFINES,15,21
17,DEFINES,15,22
18,DEFINES,15,23
19,DEFINES,15,24
20,DEFINES,15,25
21,DEFINES,15,26
22,DEFINES,15,27
65807,CALLS,17,21
65804,CALLS,17,23
65806,CALLS,17,24
65805,CALLS,17,27
65808,CALLS,18,23
65809,CALLS,18,27
65814,CALLS,19,1
65811,CALLS,19,20
65810,CALLS,19,23
65812,CALLS,19,2777
65813,CALLS,19,11164
65815,CALLS,20,27
65816,CALLS,21,22
65818,CALLS,24,22
65819,CALLS,24,25
65817,CALLS,24,26
65820,CALLS,25,26
65823,CALLS,25,44732
65821,CALLS,25,44781
65822,CALLS,25,44783
23,DEFINES,31,32
24,DEFINES,31,33
25,DEFINES,31,34
26,DEFINES,31,35
27,DEFINES,31,36
28,DEFINES,31,37
30,DEFINES,31,39
31,DEFINES,31,40
33,DEFINES,31,42
34,DEFINES,31,43
35,DEFINES,31,44
36,DEFINES,31,45
37,DEFINES,31,46
39,DEFINES,31,48
40,DEFINES,31,49
65825,CALLS,32,34
65824,CALLS,32,35
65827,CALLS,33,34
65826,CALLS,33,35
65828,CALLS,35,44
65829,CALLS,35,45
65830,CALLS,36,36
65832,CALLS,36,39
65833,CALLS,36,40
65834,CALLS,36,722
65835,CALLS,36,758
65831,CALLS,36,996
29,DEFINES,37,38
65837,CALLS,38,917
65836,CALLS,38,2737
65838,CALLS,39,44
32,DEFINES,40,41
65842,CALLS,40,42
65839,CALLS,40,43
65841,CALLS,40,45
65840,CALLS,40,498
65843,CALLS,40,1253
65844,CALLS,43,509
65845,CALLS,45,1
65846,CALLS,45,46
65848,CALLS,46,47
38,DEFINES,46,47
65847,CALLS,46,48
65849,CALLS,46,49
41,DEFINES,51,52
42,DEFINES,51,53
46,DEFINES,51,57
52,DEFINES,51,63
57,DEFINES,51,68
75,DEFINES,51,86
79,DEFINES,51,90
